user_id,birthday,gender,birth,birth_year,birth_month
886997790,20141130.0,0.0,2014-11-30,2014,11
902549448,20130615.0,,2013-06-15,2013,6
914074800,20140219.0,,2014-02-19,2014,2
925964568,,1.0,2009-03-30,2009,3
1017818160,20111020.0,0.0,2011-10-20,2011,10
1033466085,20120411.0,0.0,2012-04-11,2012,4
1040350341,20140628.0,0.0,2014-06-28,2014,6
1045319175,20110209.0,1.0,2011-02-09,2011,2
1049355963,20120702.0,0.0,2012-07-02,2012,7
1055336274,20120429.0,1.0,2012-04-29,2012,4
1060518588,20130815.0,,2013-08-15,2013,8
1075810191,20140718.0,1.0,2014-07-18,2014,7
1083497049,20140815.0,0.0,2014-08-15,2014,8
1089343761,20131205.0,0.0,2013-12-05,2013,12
1100388114,20141011.0,0.0,2014-10-11,2014,10
1113460719,20130504.0,0.0,2013-05-04,2013,5
1125759387,20140811.0,1.0,2014-08-11,2014,8
1132472679,20141030.0,0.0,2014-10-30,2014,10
1593516816,,1.0,2009-06-18,2009,6
1635059595,,1.0,2007-09-19,2007,9
1643805171,20140509.0,1.0,2014-05-09,2014,5
1658032434,20121022.0,1.0,2012-10-22,2012,10
1672630998,20140302.0,1.0,2014-03-02,2014,3
1692582408,20120712.0,0.0,2012-07-12,2012,7
1706543412,20110105.0,1.0,2011-01-05,2011,1
1730315664,20120629.0,0.0,2012-06-29,2012,6
1766969850,20130613.0,0.0,2013-06-13,2013,6
1783121841,,0.0,2004-03-23,2004,3
1817973372,20120223.0,1.0,2012-02-23,2012,2
1834895775,,0.0,2009-05-15,2009,5
1858557399,20141115.0,1.0,2014-11-15,2014,11
1911445233,20120430.0,1.0,2012-04-30,2012,4
1944471144,20130819.0,1.0,2013-08-19,2013,8
1990421511,20141021.0,0.0,2014-10-21,2014,10
2062636887,20150315.0,1.0,2015-03-15,2015,3
2118737046,20140411.0,1.0,2014-04-11,2014,4
2230873305,20120201.0,0.0,2012-02-01,2012,2
2298687186,20121009.0,1.0,2012-10-09,2012,10
330830,,0.0,2009-10-07,2009,10
645557,20120207.0,0.0,2012-02-07,2012,2
1567601,20120707.0,0.0,2012-07-07,2012,7
10502300,20120504.0,0.0,2012-05-04,2012,5
11461439,20130307.0,1.0,2013-03-07,2013,3
12155387,,1.0,2009-08-05,2009,8
12576056,20110611.0,0.0,2011-06-11,2011,6
13101455,20110819.0,0.0,2011-08-19,2011,8
